access,family,Baltimore
NC_009521,Partitiviridae,III
NC_001542,Rhabdoviridae,V
NC_010305,Betaflexiviridae,IV
NC_001564,Flaviviridae,IV
NC_008180,Reoviridae,III
NC_007674,Reoviridae,III
NC_001619,Papillomaviridae,I
NC_001591 NC_013591,Papillomaviridae,I
NC_002816,Baculoviridae,I
NC_002817,Geminiviridae,II
NC_002981,Geminiviridae,II
NC_001458,Papillomaviridae,I
NC_003113,Iflaviridae,IV
NC_002169,Baculoviridae,I
NC_002560,Reoviridae,III
NC_001921,Paramyxoviridae,V
NC_004221,Reoviridae,III
NC_003397,Potyviridae,IV
NC_010346,Partitiviridae,III
NC_010347,Partitiviridae,III
NC_010348,Partitiviridae,III
NC_010352,Geminiviridae,II
NC_024779,Geminiviridae,II
NC_002691,Nodaviridae,IV
NC_002701,Totiviridae,III
NC_003102,Baculoviridae,I
NC_006150,Herpesviridae,I
NC_003451,Bromoviridae,IV
NC_007372,Orthomyxoviridae,V
NC_006572,Arenaviridae,V
NC_007221,Partitiviridae,III
NC_001826,Herpesviridae,I
NC_002468,Betaflexiviridae,IV
NC_008779,Geminiviridae,II
NC_024781,Filoviridae,V
NC_003452,Bromoviridae,IV
NC_003453,Bromoviridae,IV
NC_005092,Iflaviridae,IV
NC_003697,Reoviridae,III
NC_003702,Reoviridae,III
NC_003703,Reoviridae,III
NC_006433,Hantaviridae,V
NC_017099,Hypoviridae,IV
NC_004054,Mitoviridae,IV
NC_026432,Orthomyxoviridae,V
NC_004042,Geminiviridae,II
NC_004764,Polyomaviridae,I
NC_001648,Caulimoviridae,VII
NC_001605,Papillomaviridae,I
NC_003199,Geminiviridae,II
NC_003867,Geminiviridae,II
NC_003020,Reoviridae,III
NC_003021,Reoviridae,III
NC_003018,Reoviridae,III
NC_005032,Geminiviridae,II
NC_016758,Quadriviridae,III
NC_016759,Quadriviridae,III
NC_016757,Quadriviridae,III
NC_005029,Potyviridae,IV
NC_004906,Orthomyxoviridae,V
NC_004907,Orthomyxoviridae,V
NC_001595,Papillomaviridae,I
NC_003700,Reoviridae,III
NC_003059,Retroviridae,VI
NC_004035,Potyviridae,IV
NC_003665,Geminiviridae,II
NC_008824,Potyviridae,IV
NC_014598,Reoviridae,III
NC_014600,Reoviridae,III
NC_014601,Reoviridae,III
NC_014603,Reoviridae,III
NC_014604,Reoviridae,III
NC_014605,Reoviridae,III
NC_001937,Geminiviridae,II
NC_002047,Geminiviridae,II
NC_001934,Geminiviridae,II
NC_010701,Arenaviridae,V
NC_001330,Microviridae,II
NC_002014,Inoviridae,II
NC_001366,Picornaviridae,IV
NC_003023,Reoviridae,III
NC_003016,Reoviridae,III
NC_003025,Reoviridae,III
NC_008236,Geminiviridae,II
NC_008514 NC_025398,Rhabdoviridae,V
NC_008516,Tobaniviridae,IV
NC_006495,Orthomyxoviridae,V
NC_004120,Bromoviridae,IV
NC_004650,Geminiviridae,II
NC_008731,Reoviridae,III
NC_005176,Reoviridae,III
NC_006320,Phenuiviridae,V
NC_004612,Geminiviridae,II
NC_004662,Geminiviridae,II
NC_015411,Phenuiviridae,V
NC_015412,Phenuiviridae,V
NC_015414,Secoviridae,IV
NC_001480,Tymoviridae,IV
NC_010706,Partitiviridae,III
NC_001702,Retroviridae,VI
NC_001402,Retroviridae,VI
NC_003852,Virgaviridae,IV
NC_004106,Virgaviridae,IV
NC_003019,Reoviridae,III
NC_003024,Reoviridae,III
NC_004198,Reoviridae,III
NC_001369,Geminiviridae,II
NC_001461,Flaviviridae,IV
NC_003793,Plectroviridae,II
NC_004301,Leviviridae,IV
NC_001420,Microviridae,II
NC_002046,Geminiviridae,II
NC_009605,Geminiviridae,II
NC_010700,Arenaviridae,V
NC_001647,Geminiviridae,II
NC_010253,Arenaviridae,V
NC_010743,Reoviridae,III
NC_003884,Partitiviridae,III
NC_004043,Geminiviridae,II
NC_002766,Solemoviridae,IV
NC_004099,Geminiviridae,II
NC_015415,Secoviridae,IV
NC_015413,Phenuiviridae,V
NC_002018,Orthomyxoviridae,V
NC_001493,Alloherpesviridae,I
NC_001508,Geminiviridae,II
NC_001523,Papillomaviridae,I
NC_003779,Dicistroviridae,IV
NC_003355,Virgaviridae,IV
NC_004995,Tombusviridae,IV
NC_005846,Geminiviridae,II
NC_004690,Baculoviridae,I
NC_009244,Reoviridae,III
NC_004204,Reoviridae,III
NC_002025,Bromoviridae,IV
NC_003664,Geminiviridae,II
NC_003648,Nanoviridae,II
NC_004630,Geminiviridae,II
NC_011062,Betaflexiviridae,IV
NC_009250,Reoviridae,III
NC_002190,Parvoviridae,II
NC_009609,Rhabdoviridae,V
NC_007588,Reoviridae,III
NC_003809,Bromoviridae,IV
NC_011592,Caulimoviridae,VII
NC_004362,Bromoviridae,IV
NC_003759,Reoviridae,III
NC_003758,Reoviridae,III
NC_003769,Reoviridae,III
NC_003650,Bromoviridae,IV
NC_001531,Papillomaviridae,I
NC_009246,Reoviridae,III
NC_003468,Hantaviridae,V
NC_005848,Bromoviridae,IV
NC_005849,Bromoviridae,IV
NC_004108,Peribunyaviridae,V
NC_002692,Virgaviridae,IV
NC_009896,Peribunyaviridae,V
NC_003722,Geminiviridae,II
NC_003550,Secoviridae,IV
NC_003623,Secoviridae,IV
NC_003694,Secoviridae,IV
NC_001365,Plectroviridae,II
NC_009640,Paramyxoviridae,V
NC_012212,Marnaviridae,IV
NC_013035,Papillomaviridae,I
NC_006496,Orthomyxoviridae,V
NC_004656,Geminiviridae,II
NC_001984,Geminiviridae,II
NC_014397 NC_002043,Phenuiviridae,V
NC_001600,Tombusviridae,IV
NC_003660,Reoviridae,III
NC_004765,Papillomaviridae,I
NC_010756,Arenaviridae,V
NC_007339,Geminiviridae,II
NC_007533,Reoviridae,III
NC_001505,Polyomaviridae,I
NC_006263,Parvoviridae,II
NC_001618,Retroviridae,VI
NC_005775,Peribunyaviridae,V
NC_001598,Closteroviridae,IV
NC_001497,Caulimoviridae,VII
NC_000869,Geminiviridae,II
NC_003644,Nanoviridae,II
NC_004100,Geminiviridae,II
NC_016769,Picornaviridae,IV
NC_002328,Phenuiviridae,V
NC_003746,Rhabdoviridae,V
NC_004015,Virgaviridae,IV
NC_008793,Geminiviridae,II
NC_007679,Alphaflexiviridae,IV
NC_005080,Arenaviridae,V
NC_005041,Parvoviridae,II
NC_004195 NC_009752,Papillomaviridae,I
NC_012777,Arenaviridae,V
NC_013107,Fimoviridae,V
NC_001526,Papillomaviridae,I
NC_003518,Virgaviridae,IV
NC_003519,Virgaviridae,IV
NC_002500,Betaflexiviridae,IV
NC_004189,Reoviridae,III
NC_001822,Tombusviridae,IV
NC_004642,Geminiviridae,II
NC_001344,Hepadnaviridae,VII
NC_003602,Betaflexiviridae,IV
NC_001722,Retroviridae,VI
NC_007159,Reoviridae,III
NC_007160,Reoviridae,III
NC_007540,Chrysoviridae,III
NC_007523,Totiviridae,III
NC_004641,Geminiviridae,II
NC_005226,Hantaviridae,V
NC_004439,Secoviridae,IV
NC_004441,Picornaviridae,IV
NC_004091,Geminiviridae,II
NC_009451,Geminiviridae,II
NC_002020,Orthomyxoviridae,V
NC_008168,Baculoviridae,I
NC_009608,Rhabdoviridae,V
NC_010955,Retroviridae,VI
NC_008580,Caliciviridae,IV
NC_003738,Secoviridae,IV
NC_001350,Herpesviridae,I
NC_010560,Closteroviridae,IV
NC_010562,Arenaviridae,V
NC_010563,Arenaviridae,V
NC_009742,Potyviridae,IV
NC_001658,Alphaflexiviridae,IV
NC_006054,Aspiviridae,V
NC_003511,Virgaviridae,IV
NC_004451,Picornaviridae,IV
NC_004117 NC_011615,Baculoviridae,I
NC_005039,Flaviviridae,IV
NC_015468,Tospoviridae,V
NC_004661,Geminiviridae,II
NC_007162,Reoviridae,III
NC_006260,Parvoviridae,II
NC_006261,Parvoviridae,II
NC_003744,Geminiviridae,II
NC_003799,Secoviridae,IV
NC_005224,Hantaviridae,V
NC_003326 NC_010798,Geminiviridae,II
NC_015939,Hypoviridae,IV
NC_007572,Reoviridae,III
NC_007361,Orthomyxoviridae,V
NC_014357,Parvoviridae,II
NC_014474,Retroviridae,VI
NC_014515,Reoviridae,III
NC_014602,Reoviridae,III
NC_010584,Reoviridae,III
NC_010587,Reoviridae,III
NC_010588,Reoviridae,III
NC_010592,Reoviridae,III
NC_010593,Reoviridae,III
NC_014930,Circoviridae,II
NC_003704,Reoviridae,III
NC_003705,Reoviridae,III
NC_003706,Reoviridae,III
NC_003707,Reoviridae,III
NC_003710,Partitiviridae,III
NC_003711,Partitiviridae,III
NC_003546,Bromoviridae,IV
NC_003725,Virgaviridae,IV
NC_015051,Geminiviridae,II
NC_003561,Nanoviridae,II
NC_004050,Narnaviridae,IV
NC_004062,Baculoviridae,I
NC_005222,Hantaviridae,V
NC_005216,Hantaviridae,V
NC_003477,Nanoviridae,II
NC_010307,Geminiviridae,II
NC_004206,Reoviridae,III
NC_004207,Reoviridae,III
NC_004208,Reoviridae,III
NC_004209,Reoviridae,III
NC_004365,Dicistroviridae,IV
NC_001452,Retroviridae,VI
NC_004366,Tombusviridae,IV
NC_004540,Caulimoviridae,VII
NC_010226,Papillomaviridae,I
NC_006432,Filoviridae,V
NC_015397,Geminiviridae,II
NC_004569,Geminiviridae,II
NC_004725,Tombusviridae,IV
NC_007586,Reoviridae,III
NC_007587,Reoviridae,III
NC_006561,Circoviridae,II
NC_011804,Geminiviridae,II
NC_005038,Baculoviridae,I
NC_001801,Virgaviridae,IV
NC_004455,Retroviridae,VI
NC_010343,Partitiviridae,III
NC_010344,Partitiviridae,III
NC_010345,Partitiviridae,III
NC_010350,Partitiviridae,III
NC_006262,Potyviridae,IV
NC_004452,Tombusviridae,IV
NC_002800,Partitiviridae,III
NC_004367,Herpesviridae,I
NC_004755,Geminiviridae,II
NC_003475,Nanoviridae,II
NC_009890,Totiviridae,III
NC_001906,Paramyxoviridae,V
NC_005339,Paramyxoviridae,V
NC_005341,Parvoviridae,II
NC_016044,Potyviridae,IV
NC_002362,Inoviridae,II
NC_001538,Polyomaviridae,I
NC_005131,Inoviridae,II
NC_005985,Tombusviridae,IV
NC_001552,Paramyxoviridae,V
NC_001739,Caulimoviridae,VII
NC_003017,Reoviridae,III
NC_016896,Astroviridae,IV
NC_015884,Reoviridae,III
NC_015885,Reoviridae,III
NC_015886,Reoviridae,III
NC_001831,Retroviridae,VI
NC_011557,Partitiviridae,III
NC_011558,Rhabdoviridae,V
NC_011559,Tymoviridae,IV
NC_001632,Secoviridae,IV
NC_003448,Nodaviridae,IV
NC_016881,Reoviridae,III
NC_016882,Reoviridae,III
NC_016883,Reoviridae,III
NC_016874,Reoviridae,III
NC_016875,Reoviridae,III
NC_016876,Reoviridae,III
NC_014707,Geminiviridae,II
NC_014822,Geminiviridae,II
NC_014955,Papillomaviridae,I
NC_015115,Parvoviridae,II
NC_001501,Retroviridae,VI
NC_003808,Bromoviridae,IV
NC_011568,Rhabdoviridae,V
NC_005078,Arenaviridae,V
NC_005082,Arenaviridae,V
NC_003870,Betaflexiviridae,IV
NC_003696,Reoviridae,III
NC_005348,Geminiviridae,II
NC_005845,Geminiviridae,II
NC_015487,Geminiviridae,II
NC_007374,Orthomyxoviridae,V
NC_007535,Reoviridae,III
NC_006148,Parvoviridae,II
NC_009519,Partitiviridae,III
NC_007548,Reoviridae,III
NC_001352,Papillomaviridae,I
NC_001940,Retroviridae,VI
NC_005138,Betaflexiviridae,IV
NC_001450,Retroviridae,VI
NC_002803,Rhabdoviridae,V
NC_007531,Reoviridae,III
NC_007532,Reoviridae,III
NC_006065,Bromoviridae,IV
NC_003836,Bromoviridae,IV
NC_011546,Retroviridae,VI
NC_000898,Herpesviridae,I
NC_014509,Solemoviridae,IV
NC_016033,Solemoviridae,IV
NC_006066,Bromoviridae,IV
NC_001623 NC_004323 NC_008349,Baculoviridae,I
NC_001839,Caulimoviridae,VII
NC_001728,Virgaviridae,IV
NC_001411,Nodaviridae,IV
NC_001596,Papillomaviridae,I
NC_002665,Herpesviridae,I
NC_001576,Papillomaviridae,I
NC_002077,Parvoviridae,II
NC_011507,Reoviridae,III
NC_018381,Rhabdoviridae,V
NC_004614,Geminiviridae,II
NC_014447,Geminiviridae,II
NC_011584,Geminiviridae,II
NC_001583,Papillomaviridae,I
NC_001586,Papillomaviridae,I
NC_003084,Baculoviridae,I
NC_002549,Filoviridae,V
NC_004421,Picornaviridae,IV
NC_016880,Reoviridae,III
NC_003537,Potyviridae,IV
NC_006941,Potyviridae,IV
NC_016961,Togaviridae,IV
NC_003790,Astroviridae,IV
NC_014847,Geminiviridae,II
NC_002028,Bromoviridae,IV
NC_017685,Rhabdoviridae,V
NC_003735,Reoviridae,III
NC_003728,Reoviridae,III
NC_003754,Phenuiviridae,V
NC_003755,Phenuiviridae,V
NC_005261,Herpesviridae,I
NC_003474,Nanoviridae,II
NC_000947,Potyviridae,IV
NC_001270,Plectroviridae,II
NC_002552,Betaflexiviridae,IV
NC_007661,Reoviridae,III
NC_011051,Papillomaviridae,I
NC_004172,Cystoviridae,III
NC_007570,Reoviridae,III
NC_005993,Reoviridae,III
NC_005994,Reoviridae,III
NC_005995,Reoviridae,III
NC_001847,Herpesviridae,I
NC_005264,Herpesviridae,I
NC_001362,Retroviridae,VI
NC_006623,Herpesviridae,I
NC_002797,Partitiviridae,III
NC_014708,Reoviridae,III
NC_003794,Alphaflexiviridae,IV
NC_003838,Bromoviridae,IV
NC_002051,Tospoviridae,V
NC_002052,Tospoviridae,V
NC_006056,Secoviridae,IV
NC_003747,Solemoviridae,IV
NC_014927,Circoviridae,II
NC_014928,Circoviridae,II
NC_003505,Geminiviridae,II
NC_005854,Bromoviridae,IV
NC_009757,Marnaviridae,IV
NC_009758,Marnaviridae,IV
NC_015495,Partitiviridae,III
NC_026242,Nudiviridae,I
NC_014968,Geminiviridae,II
NC_011536,Solemoviridae,IV
NC_011537,Tymoviridae,IV
NC_014978,Nodaviridae,IV
NC_011540,Betaflexiviridae,IV
NC_011541,Potyviridae,IV
NC_011543,Solemoviridae,IV
NC_011549,Coronaviridae,IV
NC_011550,Coronaviridae,IV
NC_015044,Geminiviridae,II
NC_015045,Geminiviridae,II
NC_015046,Geminiviridae,II
NC_015047,Geminiviridae,II
NC_015048,Geminiviridae,II
NC_011552,Betaflexiviridae,IV
NC_011553,Bromoviridae,IV
NC_011556,Partitiviridae,III
NC_003674,Bromoviridae,IV
NC_007966,Geminiviridae,II
NC_005338,Geminiviridae,II
NC_015317,Geminiviridae,II
NC_015328,Caulimoviridae,VII
NC_015553,Geminiviridae,II
NC_015639,Totiviridae,III
NC_013097,Nanoviridae,II
NC_009646,Geminiviridae,II
NC_002510,Geminiviridae,II
NC_008058,Geminiviridae,II
NC_002558,Reoviridae,III
NC_003646,Nanoviridae,II
NC_003856,Geminiviridae,II
NC_004107,Hepadnaviridae,VII
NC_009996,Picornaviridae,IV
NC_009537,Bromoviridae,IV
NC_010797,Geminiviridae,II
NC_006016,Reoviridae,III
NC_006017,Reoviridae,III
NC_002326,Phenuiviridae,V
NC_009503,Baculoviridae,I
NC_004583,Geminiviridae,II
NC_004800,Polyomaviridae,I
NC_005068,Baculoviridae,I
NC_004654,Geminiviridae,II
NC_005992,Reoviridae,III
NC_006019,Reoviridae,III
NC_007753,Reoviridae,III
NC_010837,Geminiviridae,II
NC_012799,Potyviridae,IV
NC_001495,Bromoviridae,IV
NC_005217,Hantaviridae,V
NC_001478,Geminiviridae,II
NC_003853,Tombusviridae,IV
NC_004052,Mitoviridae,IV
NC_006574,Arenaviridae,V
NC_003609,Geminiviridae,II
NC_008521,Circoviridae,II
NC_007672,Reoviridae,III
NC_007667,Reoviridae,III
NC_005905,Baculoviridae,I
NC_001512,Togaviridae,IV
NC_001413,Retroviridae,VI
NC_003896,Geminiviridae,II
NC_003618,Closteroviridae,IV
NC_001694 NC_013931,Papillomaviridae,I
NC_001829,Parvoviridae,II
NC_013443 NC_018669,Astroviridae,IV
NC_006575,Arenaviridae,V
NC_001479,Picornaviridae,IV
NC_008032,Papillomaviridae,I
NC_003469,Virgaviridae,IV
NC_003481,Virgaviridae,IV
NC_004287,Parvoviridae,II
NC_007378,Orthomyxoviridae,V
NC_006429,Rhabdoviridae,V
NC_003564,Nanoviridae,II
NC_005842,Geminiviridae,II
NC_001973,Baculoviridae,I
NC_003899,Togaviridae,IV
NC_003900,Togaviridae,IV
NC_003908,Togaviridae,IV
NC_003621,Secoviridae,IV
NC_006428,Paramyxoviridae,V
NC_001587,Papillomaviridae,I
NC_013225 NC_004282,Reoviridae,III
NC_013226 NC_004275,Reoviridae,III
NC_013227 NC_004280,Reoviridae,III
NC_013447,Endornaviridae,IV
NC_013439,Polyomaviridae,I
NC_005286,Tombusviridae,IV
NC_001503,Retroviridae,VI
NC_006560,Herpesviridae,I
AC_000010 BK000412,Adenoviridae,I
NC_014396 NC_002044,Phenuiviridae,V
NC_013228 NC_004278,Reoviridae,III
NC_013229 NC_004274,Reoviridae,III
NC_013230 NC_004281,Reoviridae,III
NC_013232 NC_004279,Reoviridae,III
NC_013233 NC_004283,Reoviridae,III
NC_013234 NC_004276,Reoviridae,III
NC_005950,Hepadnaviridae,VII
NC_008059,Geminiviridae,II
NC_003536,Potyviridae,IV
NC_004190,Reoviridae,III
NC_004065,Herpesviridae,I
NC_004008,Bromoviridae,IV
NC_001748,Alphaflexiviridae,IV
NC_003376,Alphaflexiviridae,IV
NC_001332,Inoviridae,II
NC_001716,Herpesviridae,I
NC_005890,Hepadnaviridae,VII
NC_001511,Retroviridae,VI
NC_003480,Bromoviridae,IV
NC_012957,Picornaviridae,IV
NC_003772,Reoviridae,III
NC_003603,Tombusviridae,IV
NC_003446,Secoviridae,IV
NC_003462,Betaflexiviridae,IV
NC_003692,Nodaviridae,IV
NC_003724,Virgaviridae,IV
NC_004908,Orthomyxoviridae,V
NC_005214,Phenuiviridae,V
NC_001510 NC_001358 NC_001630 NC_004713 NC_008185 NC_008186 NC_011618 NC_011619,Parvoviridae,II
NC_009895,Peribunyaviridae,V
NC_001959,Caliciviridae,IV
NC_001662,Parvoviridae,II
NC_001540,Parvoviridae,II
NC_003661,Reoviridae,III
NC_003714,Cystoviridae,III
NC_004142,Nodaviridae,IV
NC_004185,Reoviridae,III
NC_004579,Astroviridae,IV
NC_013258,Closteroviridae,IV
NC_013259,Closteroviridae,IV
NC_003760,Reoviridae,III
NC_003764,Reoviridae,III
NC_006060,Alphaflexiviridae,IV
NC_003398,Potyviridae,IV
NC_006440,Partitiviridae,III
NC_006504,Orthomyxoviridae,V
NC_001367,Virgaviridae,IV
NC_005266,Secoviridae,IV
NC_011920,Caulimoviridae,VII
NC_010708,Hantaviridae,V
NC_010709,Secoviridae,IV
NC_011808,Bromoviridae,IV
NC_011809,Bromoviridae,IV
NC_014139,Geminiviridae,II
NC_014140,Geminiviridae,II
NC_014141,Geminiviridae,II
NC_014142,Geminiviridae,II
NC_001499,Retroviridae,VI
NC_001463,Retroviridae,VI
NC_010791 NC_008727,Geminiviridae,II
NC_008250 NC_009750,Picornaviridae,IV
NC_004180,Reoviridae,III
NC_003750,Reoviridae,III
NC_002050,Tospoviridae,V
NC_006437,Hantaviridae,V
NC_001368,Virgaviridae,IV
NC_003689,Betaflexiviridae,IV
NC_005988,Reoviridae,III
NC_006005,Reoviridae,III
NC_005998,Reoviridae,III
NC_009240,Nudiviridae,I
NC_001699,Polyomaviridae,I
NC_001796,Paramyxoviridae,V
NC_014902,Geminiviridae,II
NC_015493,Secoviridae,IV
NC_015490,Geminiviridae,II
NC_001550,Retroviridae,VI
NC_003849,Alphaflexiviridae,IV
NC_003627,Tombusviridae,IV
NC_006951,Papillomaviridae,I
NC_004290,Parvoviridae,II
NC_003008,Reoviridae,III
NC_013695 NC_010384,Picornaviridae,IV
NC_012702,Nyamiviridae,V
NC_012703,Nyamiviridae,V
NC_015668,Mesoniviridae,IV
NC_003495,Secoviridae,IV
NC_010799,Geminiviridae,II
NC_014903,Geminiviridae,II
NC_015494,Partitiviridae,III
NC_015502,Caulimoviridae,VII
NC_015503,Caulimoviridae,VII
NC_015505,Caulimoviridae,VII
NC_015507,Caulimoviridae,VII
NC_006152,Parvoviridae,II
NC_004609,Geminiviridae,II
NC_006566,Bromoviridae,IV
NC_003861,Geminiviridae,II
NC_001749,Betaflexiviridae,IV
NC_003693,Secoviridae,IV
NC_012699,Caliciviridae,IV
NC_006961,Partitiviridae,III
NC_013668,Alloherpesviridae,I
NC_001467,Geminiviridae,II
NC_001468,Geminiviridae,II
NC_010417,Geminiviridae,II
NC_010240,Baculoviridae,I
NC_010752,Reoviridae,III
NC_010713,Geminiviridae,II
NC_010665,Reoviridae,III
NC_010662,Reoviridae,III
NC_010594,Reoviridae,III
NC_010585,Reoviridae,III
NC_004010,Potyviridae,IV
NC_001472 NC_009887 NC_010411 NC_013114 NC_013115,Picornaviridae,IV
NC_003800,Secoviridae,IV
NC_001886,Potyviridae,IV
NC_003679,Flaviviridae,IV
NC_014185,Papillomaviridae,I
NC_010663,Reoviridae,III
NC_010664,Reoviridae,III
NC_010669,Reoviridae,III
NC_010806,Tombusviridae,IV
NC_010809,Solemoviridae,IV
NC_012542,Reoviridae,III
NC_003990,Picornaviridae,IV
NC_007358,Orthomyxoviridae,V
NC_007363,Orthomyxoviridae,V
NC_007448,Closteroviridae,IV
NC_010810,Picornaviridae,IV
NC_010817,Papillomaviridae,I
NC_010818,Geminiviridae,II
NC_010820,Retroviridae,VI
NC_014904,Endornaviridae,IV
NC_002331,Baculoviridae,I
NC_006435,Hantaviridae,V
NC_007547,Reoviridae,III
NC_007556,Reoviridae,III
NC_007538,Partitiviridae,III
NC_007723,Geminiviridae,II
NC_001440,Bromoviridae,IV
NC_007289,Betaflexiviridae,IV
NC_004905,Orthomyxoviridae,V
NC_014406,Polyomaviridae,I
NC_014407,Polyomaviridae,I
NC_007522,Marnaviridae,IV
NC_007527,Reoviridae,III
NC_007642,Rhabdoviridae,V
NC_007726,Geminiviridae,II
NC_012729,Parvoviridae,II
NC_016878,Reoviridae,III
NC_016879,Reoviridae,III
NC_001498,Paramyxoviridae,V
NC_010832,Alphaflexiviridae,IV
NC_010834,Geminiviridae,II
NC_010836,Geminiviridae,II
NC_010840 NC_010565,Geminiviridae,II
NC_011268,Geminiviridae,II
NC_002048,Geminiviridae,II
NC_003897,Geminiviridae,II
NC_005331,Geminiviridae,II
NC_004205,Reoviridae,III
NC_010835,Geminiviridae,II
NC_013639,Geminiviridae,II
NC_013640,Geminiviridae,II
NC_008182,Secoviridae,IV
NC_008183,Secoviridae,IV
NC_008708,Bromoviridae,IV
NC_008377,Geminiviridae,II
NC_006367,Totiviridae,III
NC_002021,Orthomyxoviridae,V
NC_003547,Bromoviridae,IV
NC_003555,Totiviridae,III
NC_011067,Botourmiaviridae,IV
NC_007736,Reoviridae,III
NC_007738,Reoviridae,III
NC_007739,Reoviridae,III
NC_001925,Peribunyaviridae,V
NC_013463,Megabirnaviridae,III
NC_013462,Megabirnaviridae,III
NC_004911,Orthomyxoviridae,V
NC_006296,Paramyxoviridae,V
NC_000855,Rhabdoviridae,V
NC_006874,Geminiviridae,II
NC_006876,Geminiviridae,II
NC_006306,Orthomyxoviridae,V
NC_001844,Herpesviridae,I
NC_007803,Paramyxoviridae,V
NC_007730,Geminiviridae,II
NC_001914,Caulimoviridae,VII
NC_004285,Parvoviridae,II
NC_001492,Hypoviridae,IV
NC_001721,Tombusviridae,IV
NC_000882,Geminiviridae,II
NC_011530 NC_011531,Papillomaviridae,I
NC_014130,Geminiviridae,II
NC_003868,Geminiviridae,II
NC_003607,Totiviridae,III
NC_003013,Reoviridae,III
NC_010749,Reoviridae,III
NC_007362,Orthomyxoviridae,V
NC_007218,Parvoviridae,II
NC_007382,Orthomyxoviridae,V
NC_007381,Orthomyxoviridae,V
NC_007921,Baculoviridae,I
NC_008559,Geminiviridae,II
NC_011659,Alphaflexiviridae,IV
NC_014128,Geminiviridae,II
NC_014137,Iflaviridae,IV
NC_014138,Geminiviridae,II
NC_008574,Inoviridae,II
NC_008575,Inoviridae,II
NC_008519 NC_013196,Papillomaviridae,I
NC_010439,Geminiviridae,II
NC_014547,Geminiviridae,II
NC_002022,Orthomyxoviridae,V
NC_007562,Reoviridae,III
NC_007567,Reoviridae,III
NC_007740,Reoviridae,III
NC_011620,Alphaflexiviridae,IV
NC_007750,Reoviridae,III
NC_009031,Geminiviridae,II
NC_001436,Retroviridae,VI
NC_002066,Iflaviridae,IV
NC_002588,Tymoviridae,IV
NC_013231 NC_004277,Reoviridae,III
NC_001364 NC_001736,Retroviridae,VI
NC_014845,Geminiviridae,II
NC_006310,Orthomyxoviridae,V
NC_008317,Geminiviridae,II
NC_004324,Caulimoviridae,VII
NC_003563,Nanoviridae,II
NC_003736,Reoviridae,III
NC_009994,Potyviridae,IV
NC_003976,Picornaviridae,IV
NC_011803,Virgaviridae,IV
NC_008033,Circoviridae,II
NC_008294,Fiersviridae,IV
NC_008303,Tospoviridae,V
NC_008329,Geminiviridae,II
NC_006441,Partitiviridae,III
NC_009025,Dicistroviridae,IV
NC_008173,Reoviridae,III
NC_008366,Closteroviridae,IV
NC_008189,Papillomaviridae,I
NC_004098,Geminiviridae,II
NC_014064,Potyviridae,IV
NC_008034,Caulimoviridae,VII
NC_008494,Geminiviridae,II
NC_014567,Herpesviridae,I
NC_015522,Tymoviridae,IV
NC_015523,Tymoviridae,IV
NC_015521,Hepeviridae,IV
NC_015524,Tymoviridae,IV
NC_009249,Reoviridae,III
NC_009491,Geminiviridae,II
NC_009645,Geminiviridae,II
NC_009127,Alloherpesviridae,I
NC_007745,Reoviridae,III
NC_006963,Closteroviridae,IV
NC_008522,Circoviridae,II
NC_009987,Plectroviridae,II
NC_009992,Closteroviridae,IV
NC_010295,Alphaflexiviridae,IV
NC_007371,Orthomyxoviridae,V
NC_007373,Orthomyxoviridae,V
NC_007916,Caliciviridae,IV
NC_014066,Geminiviridae,II
NC_014067,Geminiviridae,II
NC_007566,Reoviridae,III
NC_009607,Geminiviridae,II
NC_008311,Caliciviridae,IV
NC_009642,Virgaviridae,IV
NC_014894,Geminiviridae,II
NC_009251,Reoviridae,III
NC_009032,Secoviridae,IV
NC_009946,Chrysoviridae,III
NC_011069,Botourmiaviridae,IV
NC_011800,Retroviridae,VI
NC_001346,Geminiviridae,II
NC_015506,Caulimoviridae,VII
NC_010668,Reoviridae,III
NC_011066,Botourmiaviridae,IV
NC_010521,Potyviridae,IV
NC_010586,Reoviridae,III
NC_010589,Reoviridae,III
NC_010755,Partitiviridae,III
NC_013797,Baculoviridae,I
NC_006564,Papillomaviridae,I
NC_007913,Potyviridae,IV
NC_008582,Papillomaviridae,I
NC_001663,Polyomaviridae,I
NC_001515,Polyomaviridae,I
NC_010277,Polyomaviridae,I
NC_015467,Tospoviridae,V
NC_010751,Reoviridae,III
NC_010792,Geminiviridae,II
NC_010441,Geminiviridae,II
NC_010489,Tospoviridae,V
NC_010954,Potyviridae,IV
NC_011189,Secoviridae,IV
NC_012135,Bromoviridae,IV
NC_012118,Geminiviridae,II
NC_012137 NC_011806,Geminiviridae,II
NC_001639,Arteriviridae,IV
NC_001961,Arteriviridae,IV
NC_015373,Phenuiviridae,V
NC_006939,Tombusviridae,IV
NC_011400,Astroviridae,IV
NC_012134,Bromoviridae,IV
NC_012541,Reoviridae,III
NC_006359,Geminiviridae,II
NC_014252,Potyviridae,IV
NC_015374,Phenuiviridae,V
NC_012757,Inoviridae,II
NC_012787,Geminiviridae,II
NC_013101,Nanoviridae,II
NC_013396,Reoviridae,III
NC_013402,Reoviridae,III
NC_012755,Reoviridae,III
NC_012206,Geminiviridae,II
NC_009242,Reoviridae,III
